timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1709303149404,333,PATCH User,200,OK,Worload Config 1-13,text,true,,865,507,6,6,https://thinking-tester-contact-list.herokuapp.com/users/me,333,0,0
1709303149487,298,GET Contact List,200,OK,Worload Config 1-12,text,true,,1063,360,6,6,https://thinking-tester-contact-list.herokuapp.com/contacts,298,0,0
1709303148634,1155,POST Login,200,OK,Worload Config 1-14,text,true,,1266,456,5,5,https://thinking-tester-contact-list.herokuapp.com/users/login,1155,0,795
1709303149738,279,GET Contact List,200,OK,Worload Config 1-13,text,true,,1063,360,6,6,https://thinking-tester-contact-list.herokuapp.com/contacts,279,0,0
1709303148968,1145,POST Login,200,OK,Worload Config 1-15,text,true,,1266,456,5,5,https://thinking-tester-contact-list.herokuapp.com/users/login,1145,0,787
1709303149789,351,PATCH User,200,OK,Worload Config 1-14,text,true,,865,507,5,5,https://thinking-tester-contact-list.herokuapp.com/users/me,351,0,0
1709303150140,312,GET Contact List,200,OK,Worload Config 1-14,text,true,,1063,360,6,6,https://thinking-tester-contact-list.herokuapp.com/contacts,312,0,0
1709303150113,341,PATCH User,200,OK,Worload Config 1-15,text,true,,865,507,6,6,https://thinking-tester-contact-list.herokuapp.com/users/me,341,0,0
1709303149306,1156,POST Login,200,OK,Worload Config 1-16,text,true,,1266,456,5,5,https://thinking-tester-contact-list.herokuapp.com/users/login,1156,0,781
1709303149632,1122,POST Login,200,OK,Worload Config 1-17,text,true,,1266,456,6,6,https://thinking-tester-contact-list.herokuapp.com/users/login,1122,0,758
1709303150455,327,GET Contact List,200,OK,Worload Config 1-15,text,true,,1063,360,6,6,https://thinking-tester-contact-list.herokuapp.com/contacts,327,0,0
1709303150462,351,PATCH User,200,OK,Worload Config 1-16,text,true,,865,507,5,5,https://thinking-tester-contact-list.herokuapp.com/users/me,351,0,0
1709303149965,1140,POST Login,200,OK,Worload Config 1-18,text,true,,1266,456,6,6,https://thinking-tester-contact-list.herokuapp.com/users/login,1140,0,756
1709303150755,364,PATCH User,200,OK,Worload Config 1-17,text,true,,865,507,6,6,https://thinking-tester-contact-list.herokuapp.com/users/me,364,0,0
1709303150814,306,GET Contact List,200,OK,Worload Config 1-16,text,true,,1063,360,6,6,https://thinking-tester-contact-list.herokuapp.com/contacts,306,0,0
1709303150300,1068,POST Login,200,OK,Worload Config 1-19,text,true,,1274,456,6,6,https://thinking-tester-contact-list.herokuapp.com/users/login,1068,0,754
1709303151120,276,GET Contact List,200,OK,Worload Config 1-17,text,true,,1071,360,6,6,https://thinking-tester-contact-list.herokuapp.com/contacts,276,0,0
1709303151105,316,PATCH User,200,OK,Worload Config 1-18,text,true,,873,507,5,5,https://thinking-tester-contact-list.herokuapp.com/users/me,316,0,0
1709303151422,263,GET Contact List,200,OK,Worload Config 1-18,text,true,,1071,360,6,6,https://thinking-tester-contact-list.herokuapp.com/contacts,263,0,0
1709303151368,335,PATCH User,200,OK,Worload Config 1-19,text,true,,873,507,5,5,https://thinking-tester-contact-list.herokuapp.com/users/me,335,0,0
1709303150631,1124,POST Login,200,OK,Worload Config 1-20,text,true,,1274,456,5,5,https://thinking-tester-contact-list.herokuapp.com/users/login,1124,0,751
1709303151703,288,GET Contact List,200,OK,Worload Config 1-19,text,true,,1071,360,6,6,https://thinking-tester-contact-list.herokuapp.com/contacts,288,0,0
1709303151755,298,PATCH User,200,OK,Worload Config 1-20,text,true,,873,507,5,5,https://thinking-tester-contact-list.herokuapp.com/users/me,298,0,0
1709303150966,1124,POST Login,200,OK,Worload Config 1-21,text,true,,1274,456,5,5,https://thinking-tester-contact-list.herokuapp.com/users/login,1124,0,792
1709303152054,270,GET Contact List,200,OK,Worload Config 1-20,text,true,,1063,360,6,6,https://thinking-tester-contact-list.herokuapp.com/contacts,270,0,0
1709303151299,1099,POST Login,200,OK,Worload Config 1-22,text,true,,1266,456,5,5,https://thinking-tester-contact-list.herokuapp.com/users/login,1099,0,771
1709303152091,314,PATCH User,200,OK,Worload Config 1-21,text,true,,865,507,5,5,https://thinking-tester-contact-list.herokuapp.com/users/me,314,0,0
1709303152406,295,GET Contact List,200,OK,Worload Config 1-21,text,true,,1063,360,6,6,https://thinking-tester-contact-list.herokuapp.com/contacts,295,0,0
1709303151632,1091,POST Login,200,OK,Worload Config 1-23,text,true,,1266,456,5,5,https://thinking-tester-contact-list.herokuapp.com/users/login,1091,0,766
1709303152399,328,PATCH User,200,OK,Worload Config 1-22,text,true,,865,507,5,5,https://thinking-tester-contact-list.herokuapp.com/users/me,328,0,0
